restaurant_id,restaurant_name,trustpilot_url,trustpilot_business_id,confidence,method
21,ASK Italian Plymouth,https://www.trustpilot.com/review/askitalian.co.uk,askitalian.co.uk,1.0,domain_based
86,All Bar One Plymouth,https://www.trustpilot.com/review/allbarone.co.uk,allbarone.co.uk,1.0,domain_based
11,Armado Lounge,https://www.trustpilot.com/review/thelounges.co.uk,thelounges.co.uk,1.0,domain_based
93,Barburrito Plymouth,https://www.trustpilot.com/review/barburrito.co.uk,barburrito.co.uk,1.0,domain_based
88,Beefeater Plymouth,https://www.trustpilot.com/review/beefeater.co.uk,beefeater.co.uk,1.0,domain_based
155,Bella Italia Plymouth,https://www.trustpilot.com/review/bellaitalia.co.uk,bellaitalia.co.uk,1.0,domain_based
23,Bill's Plymouth,https://www.trustpilot.com/review/bills-website.co.uk,bills-website.co.uk,1.0,domain_based
71,Bistrot Pierre Plymouth,https://www.trustpilot.com/review/bistrotpierre.co.uk,bistrotpierre.co.uk,1.0,domain_based
89,Brewers Fayre Plymouth,https://www.trustpilot.com/review/brewersfayre.co.uk,brewersfayre.co.uk,1.0,domain_based
92,Burger King Plymouth,https://www.trustpilot.com/review/burgerking.co.uk,burgerking.co.uk,1.0,domain_based
47,Byron Burger Plymouth,https://www.trustpilot.com/review/byronhamburgers.com,byronhamburgers.com,1.0,domain_based
98,Caffe Nero Plymouth,https://www.trustpilot.com/review/caffenero.com,caffenero.com,1.0,domain_based
44,Café Rouge Plymouth,https://www.trustpilot.com/review/caferouge.com,caferouge.com,1.0,domain_based
63,Carluccio's Plymouth,https://www.trustpilot.com/review/carluccios.com,carluccios.com,1.0,domain_based
81,Chiquito Plymouth,https://www.trustpilot.com/review/chiquito.co.uk,chiquito.co.uk,1.0,domain_based
74,Costa Coffee Plymouth,https://www.trustpilot.com/review/costa.co.uk,costa.co.uk,1.0,domain_based
37,Cosy Club Plymouth,https://www.trustpilot.com/review/cosyclub.co.uk,cosyclub.co.uk,1.0,domain_based
62,Côte Brasserie Plymouth,https://www.trustpilot.com/review/cote.co.uk,cote.co.uk,1.0,domain_based
65,Domino's Pizza Plymouth,https://www.trustpilot.com/review/dominos.co.uk,dominos.co.uk,1.0,domain_based
194,Five Guys Plymouth,https://www.trustpilot.com/review/fiveguys.co.uk,fiveguys.co.uk,1.0,domain_based
45,Frankie & Benny's Plymouth,https://www.trustpilot.com/review/frankieandbennys.com,frankieandbennys.com,1.0,domain_based
101,Giggling Squid Plymouth,https://www.trustpilot.com/review/gigglingsquid.com,gigglingsquid.com,1.0,domain_based
57,Gourmet Burger Kitchen Plymouth,https://www.trustpilot.com/review/gbk.co.uk,gbk.co.uk,1.0,domain_based
35,Greggs Plymouth,https://www.trustpilot.com/review/greggs.co.uk,greggs.co.uk,1.0,domain_based
60,Harvester Plymouth,https://www.trustpilot.com/review/harvester.co.uk,harvester.co.uk,1.0,domain_based
7,Honky Tonk Wine Library,https://www.trustpilot.com/review/honkytonkwinelibrary.com,honkytonkwinelibrary.com,1.0,domain_based
33,KFC Plymouth,https://www.trustpilot.com/review/kfc.co.uk,kfc.co.uk,1.0,domain_based
19,Las Iguanas Plymouth,https://www.trustpilot.com/review/iguanas.co.uk,iguanas.co.uk,1.0,domain_based
51,Loungers - Seco,https://www.trustpilot.com/review/thelounges.co.uk,thelounges.co.uk,1.0,domain_based
32,McDonald's Plymouth,https://www.trustpilot.com/review/mcdonalds.com,mcdonalds.com,1.0,domain_based
14,Miller & Carter Plymouth,https://www.trustpilot.com/review/millerandcarter.co.uk,millerandcarter.co.uk,1.0,domain_based
91,Nando's Plymouth,https://www.trustpilot.com/review/nandos.co.uk,nandos.co.uk,1.0,domain_based
66,Papa John's Plymouth,https://www.trustpilot.com/review/papajohns.co.uk,papajohns.co.uk,1.0,domain_based
162,Pasta Remoli,https://www.trustpilot.com/review/pastaremoli.co.uk,pastaremoli.co.uk,1.0,domain_based
144,Pho Plymouth,https://www.trustpilot.com/review/phocafe.co.uk,phocafe.co.uk,1.0,domain_based
46,Pizza Express Plymouth,https://www.trustpilot.com/review/pizzaexpress.com,pizzaexpress.com,1.0,domain_based
102,Pizza Hut Plymouth,https://www.trustpilot.com/review/pizzahut.co.uk,pizzahut.co.uk,1.0,domain_based
75,Pret A Manger Plymouth,https://www.trustpilot.com/review/pret.co.uk,pret.co.uk,1.0,domain_based
76,Prezzo Plymouth,https://www.trustpilot.com/review/prezzorestaurants.co.uk,prezzorestaurants.co.uk,1.0,domain_based
49,Revolution Plymouth,https://www.trustpilot.com/review/revolution-bars.co.uk,revolution-bars.co.uk,1.0,domain_based
53,River Cottage Canteen Plymouth,https://www.trustpilot.com/review/rivercottage.net,rivercottage.net,1.0,domain_based
157,Seco Lounge,https://www.trustpilot.com/review/thelounges.co.uk,thelounges.co.uk,1.0,domain_based
48,Slug & Lettuce Plymouth,https://www.trustpilot.com/review/slugandlettuce.co.uk,slugandlettuce.co.uk,1.0,domain_based
73,Starbucks Drake Circus,https://www.trustpilot.com/review/starbucks.co.uk,starbucks.co.uk,1.0,domain_based
34,Subway Plymouth,https://www.trustpilot.com/review/subway.com,subway.com,1.0,domain_based
59,TGI Fridays Plymouth,https://www.trustpilot.com/review/tgifridays.co.uk,tgifridays.co.uk,1.0,domain_based
186,Taco Bell Plymouth,https://www.trustpilot.com/review/tacobell.co.uk,tacobell.co.uk,1.0,domain_based
183,The Breakfast Club Plymouth,https://www.trustpilot.com/review/thebreakfastclubcafes.com,thebreakfastclubcafes.com,1.0,domain_based
179,The Edgcumbe Arms,https://www.trustpilot.com/review/edgcumbearms.co.uk,edgcumbearms.co.uk,1.0,domain_based
99,The Hungry Horse - Plymouth,https://www.trustpilot.com/review/hungryhorse.co.uk,hungryhorse.co.uk,1.0,domain_based
107,The Terrace Cafe,https://www.trustpilot.com/review/plymouthpavilions.com,plymouthpavilions.com,1.0,domain_based
124,The Terrace Restaurant & Bar,https://www.trustpilot.com/review/national-aquarium.co.uk,national-aquarium.co.uk,1.0,domain_based
106,The Thistle Park Brewers Fayre,https://www.trustpilot.com/review/brewersfayre.co.uk,brewersfayre.co.uk,1.0,domain_based
61,Toby Carvery Plymouth,https://www.trustpilot.com/review/tobycarvery.co.uk,tobycarvery.co.uk,1.0,domain_based
80,Turtle Bay Plymouth,https://www.trustpilot.com/review/turtlebay.co.uk,turtlebay.co.uk,1.0,domain_based
165,Urban Reef,https://www.trustpilot.com/review/urbanreef.com,urbanreef.com,1.0,domain_based
16,Wagamama Plymouth,https://www.trustpilot.com/review/wagamama.com,wagamama.com,1.0,domain_based
132,Wagamama Royal William Yard,https://www.trustpilot.com/review/wagamama.com,wagamama.com,1.0,domain_based
67,Wetherspoons - The Gipsy Moth,https://www.trustpilot.com/review/jdwetherspoon.com,jdwetherspoon.com,1.0,domain_based
97,Wildwood Plymouth,https://www.trustpilot.com/review/wildwoodrestaurants.co.uk,wildwoodrestaurants.co.uk,1.0,domain_based
84,Yo! Sushi Plymouth,https://www.trustpilot.com/review/yosushi.com,yosushi.com,1.0,domain_based
20,Zizzi Plymouth,https://www.trustpilot.com/review/zizzi.co.uk,zizzi.co.uk,1.0,domain_based
96,Zizzi Plymouth Barbican,https://www.trustpilot.com/review/zizzi.co.uk,zizzi.co.uk,1.0,domain_based
