restaurant_id,restaurant_name,restaurant_address,restaurant_postcode,premises_id,premises_name,premises_address,license_number,license_url,dps_name,license_holder,licensable_activities,opening_hours,activity_hours,conditions,validity_from,validity_to,match_confidence,match_reason,scraped_at
2,Knead Pizza Plymouth,"Prysten House, Finewell St, Plymouth, PL1 2AE",,324,Knead Pizza,"Prysten House, Finewell Street, Plymouth, Devon, PL1 2AE",PA0271,https://licensing.plymouth.gov.uk/1/LicensingActPremises/Search/324/Detail?LIC_ID=1629,,,['sale and supply of alcohol'],"[{'days': 'Monday to Saturday', 'time_from': '10:00', 'time_to': '23:00', 'non_standard': ''}, {'days': 'Sunday', 'time_from': '12:00', 'time_to': '20:30', 'non_standard': ''}, {'days': 'Non Standard Timings:', 'time_from': '', 'time_to': '', 'non_standard': ''}]",[],"{'mandatory': [], 'operational': [], 'post_hearing': [], 'cctv': []}",,,70.0,exact_name + strong_address,2025-11-21T10:16:08.135734
4,Rockfish Plymouth,"3 Rope Walk, Plymouth, PL4 0LB",,2396,Rockfish,"3 Rope Walk, Plymouth, Devon, PL4 0LB",PA0886,https://licensing.plymouth.gov.uk/1/LicensingActPremises/Search/2396/Detail?LIC_ID=11467,,,"['provision of late night refreshment', 'sale and supply of alcohol']","[{'days': 'Monday to Sunday', 'time_from': '10:00', 'time_to': '00:30', 'non_standard': ''}, {'days': 'Monday to Sunday', 'time_from': '23:00', 'time_to': '00:30', 'non_standard': ''}, {'days': 'Monday to Sunday', 'time_from': '10:00', 'time_to': '00:00', 'non_standard': ''}]",[],"{'mandatory': [], 'operational': [], 'post_hearing': [], 'cctv': []}",,,70.0,exact_name + strong_address,2025-11-21T11:22:55.669804
14,Miller & Carter Plymouth,"Sutton Wharf, PL4 0HJ",,819,Miller & Carter Plymouth,"Sutton Wharf, Coxside, Plymouth, Devon, PL4 0DW",PA0623,https://licensing.plymouth.gov.uk/1/LicensingActPremises/Search/819/Detail?LIC_ID=2225,,,"['provision of late night refreshment', 'sale and supply of alcohol', 'any playing of recorded music']","[{'days': 'Monday to Sunday', 'time_from': '09:00', 'time_to': '00:30', 'non_standard': ''}, {'days': 'Non Standard Timings:', 'time_from': '', 'time_to': '', 'non_standard': ''}, {'days': 'Monday to Sunday', 'time_from': '23:00', 'time_to': '00:00', 'non_standard': ''}, {'days': 'Non Standard Timings:', 'time_from': '', 'time_to': '', 'non_standard': ''}, {'days': 'Monday to Sunday', 'time_from': '10:00', 'time_to': '00:00', 'non_standard': ''}, {'days': 'Non Standard Timings:', 'time_from': '', 'time_to': '', 'non_standard': ''}]",[],"{'mandatory': [], 'operational': [], 'post_hearing': [], 'cctv': []}",,,65.0,exact_name + strong_address,2025-11-21T10:32:36.285691
46,Pizza Express Plymouth,"Pilgrims House, 17 Derry's Cross, Plymouth, PL1 2SW",,461,PizzaExpress,"17 - 19 Derry's Cross, Plymouth, Devon, PL1 2SW",PA0388,https://licensing.plymouth.gov.uk/1/LicensingActPremises/Search/461/Detail?LIC_ID=2074,,,"['a performance of live music', 'sale and supply of alcohol', 'any playing of recorded music', 'provision of late night refreshment']","[{'days': 'Monday to Sunday', 'time_from': '10:00', 'time_to': '01:00', 'non_standard': ''}, {'days': 'Non Standard Timings:', 'time_from': '', 'time_to': '', 'non_standard': ''}, {'days': 'Monday to Saturday', 'time_from': '11:00', 'time_to': '00:30', 'non_standard': ''}, {'days': 'Sunday', 'time_from': '12:00', 'time_to': '23:00', 'non_standard': ''}, {'days': 'Non Standard Timings:', 'time_from': '', 'time_to': '', 'non_standard': ''}, {'days': 'Monday to Saturday', 'time_from': '11:00', 'time_to': '00:30', 'non_standard': ''}, {'days': 'Sunday', 'time_from': '12:00', 'time_to': '23:00', 'non_standard': ''}, {'days': 'Non Standard Timings:', 'time_from': '', 'time_to': '', 'non_standard': ''}]",[],"{'mandatory': [], 'operational': [], 'post_hearing': [], 'cctv': []}",,,68.0,exact_name + strong_address,2025-11-21T10:56:06.408558
91,Nando's Plymouth,"Plymouth Barbican, Plymouth, UK",,1155,Nando's Restaurant,"Unit 1, Barbican Leisure Park, Plymouth, Devon, PL4 0LG",PA0679,https://licensing.plymouth.gov.uk/1/LicensingActPremises/Search/1155/Detail?LIC_ID=2579,,,"['any playing of recorded music', 'provision of late night refreshment', 'sale and supply of alcohol']","[{'days': 'Monday to Saturday', 'time_from': '11:00', 'time_to': '00:30', 'non_standard': ''}, {'days': 'Sunday', 'time_from': '12:00', 'time_to': '00:00', 'non_standard': ''}, {'days': 'Non Standard Timings:', 'time_from': '', 'time_to': '', 'non_standard': ''}, {'days': 'Monday to Saturday', 'time_from': '11:00', 'time_to': '00:30', 'non_standard': ''}, {'days': 'Sunday', 'time_from': '12:00', 'time_to': '00:00', 'non_standard': ''}, {'days': 'Non Standard Timings:', 'time_from': '', 'time_to': '', 'non_standard': ''}, {'days': 'Monday to Saturday', 'time_from': '23:00', 'time_to': '00:30', 'non_standard': ''}, {'days': 'Sunday', 'time_from': '23:00', 'time_to': '00:00', 'non_standard': ''}, {'days': 'Non Standard Timings:', 'time_from': '', 'time_to': '', 'non_standard': ''}, {'days': 'Monday to Saturday', 'time_from': '11:00', 'time_to': '00:00', 'non_standard': ''}, {'days': 'Sunday', 'time_from': '12:00', 'time_to': '23:30', 'non_standard': ''}, {'days': 'Non Standard Timings:', 'time_from': '', 'time_to': '', 'non_standard': ''}]",[],"{'mandatory': [], 'operational': [], 'post_hearing': [], 'cctv': []}",,,60.0,exact_name + good_address,2025-11-21T10:39:22.828048
125,Barbican Kitchen Bar,60 Southside Street Plymouth PL1 2LQ,,855,Barbican Kitchen,"Blackfriars Distillery, 60 Southside Street, Plymouth, Devon, PL1 2LQ",PA0683,https://licensing.plymouth.gov.uk/1/LicensingActPremises/Search/855/Detail?LIC_ID=2623,,,"['a performance of live music', 'any playing of recorded music', 'a performance of dance', 'provision of late night refreshment', 'sale and supply of alcohol']","[{'days': 'Monday to Thursday', 'time_from': '10:00', 'time_to': '00:00', 'non_standard': ''}, {'days': 'Friday and Saturday', 'time_from': '10:00', 'time_to': '02:00', 'non_standard': ''}, {'days': 'Sunday', 'time_from': '10:00', 'time_to': '00:00', 'non_standard': ''}, {'days': 'Monday to Thursday', 'time_from': '10:00', 'time_to': '23:00', 'non_standard': ''}, {'days': 'Friday and Saturday', 'time_from': '10:00', 'time_to': '01:00', 'non_standard': ''}, {'days': 'Sunday', 'time_from': '10:00', 'time_to': '23:00', 'non_standard': ''}, {'days': 'Monday to Thursday', 'time_from': '10:00', 'time_to': '00:00', 'non_standard': ''}, {'days': 'Friday and Saturday', 'time_from': '10:00', 'time_to': '01:30', 'non_standard': ''}, {'days': 'Sunday', 'time_from': '10:00', 'time_to': '00:00', 'non_standard': ''}, {'days': 'Monday to Thursday', 'time_from': '10:00', 'time_to': '23:00', 'non_standard': ''}, {'days': 'Friday and Saturday', 'time_from': '10:00', 'time_to': '01:00', 'non_standard': ''}, {'days': 'Sunday', 'time_from': '10:00', 'time_to': '23:00', 'non_standard': ''}, {'days': 'Monday to Thursday', 'time_from': '23:00', 'time_to': '23:30', 'non_standard': ''}, {'days': 'Friday and Saturday', 'time_from': '23:00', 'time_to': '01:30', 'non_standard': ''}, {'days': 'Sunday', 'time_from': '23:00', 'time_to': '23:30', 'non_standard': ''}, {'days': 'Monday to Thursday', 'time_from': '10:00', 'time_to': '23:30', 'non_standard': ''}, {'days': 'Friday and Saturday', 'time_from': '10:00', 'time_to': '01:30', 'non_standard': ''}, {'days': 'Sunday', 'time_from': '10:00', 'time_to': '23:30', 'non_standard': ''}]",[],"{'mandatory': [], 'operational': [], 'post_hearing': [], 'cctv': []}",,,64.44444444444444,similar_name + strong_address,2025-11-21T09:11:19.837277
214,Roundabout Plymouth,"2-4 Drake Circus, Plymouth, PL4 8AQ",,336,Roundabout,"2-4 Drake Circus, Plymouth, Devon, PL4 8AQ",PA0278,https://licensing.plymouth.gov.uk/1/LicensingActPremises/Search/336/Detail?LIC_ID=1916,,,"['an indoor sporting event', 'provision of late night refreshment', 'sale and supply of alcohol', 'an exhibition of a film', 'a performance of live music', 'any playing of recorded music', 'a performance of dance']","[{'days': 'Monday to Saturday', 'time_from': '08:00', 'time_to': '02:30', 'non_standard': ''}, {'days': 'Sunday', 'time_from': '08:00', 'time_to': '01:30', 'non_standard': ''}, {'days': 'Non Standard Timings:', 'time_from': '', 'time_to': '', 'non_standard': ''}, {'days': 'Monday to Saturday', 'time_from': '10:00', 'time_to': '02:00', 'non_standard': ''}, {'days': 'Sunday', 'time_from': '10:00', 'time_to': '01:00', 'non_standard': ''}, {'days': 'Non Standard Timings:', 'time_from': '', 'time_to': '', 'non_standard': ''}, {'days': 'Monday to Saturday', 'time_from': '10:00', 'time_to': '02:00', 'non_standard': ''}, {'days': 'Sunday', 'time_from': '10:00', 'time_to': '01:00', 'non_standard': ''}, {'days': 'Non Standard Timings:', 'time_from': '', 'time_to': '', 'non_standard': ''}, {'days': 'Monday to Saturday', 'time_from': '10:00', 'time_to': '02:00', 'non_standard': ''}, {'days': 'Sunday', 'time_from': '10:00', 'time_to': '01:00', 'non_standard': ''}, {'days': 'Non Standard Timings:', 'time_from': '', 'time_to': '', 'non_standard': ''}, {'days': 'Monday to Sunday', 'time_from': '00:00', 'time_to': '00:00', 'non_standard': ''}, {'days': 'Monday to Saturday', 'time_from': '10:00', 'time_to': '02:00', 'non_standard': ''}, {'days': 'Sunday', 'time_from': '10:00', 'time_to': '01:00', 'non_standard': ''}, {'days': 'Monday to Saturday', 'time_from': '10:00', 'time_to': '02:00', 'non_standard': ''}, {'days': 'Sunday', 'time_from': '10:00', 'time_to': '01:00', 'non_standard': ''}, {'days': 'Non Standard Timings:', 'time_from': '', 'time_to': '', 'non_standard': ''}, {'days': 'Monday to Saturday', 'time_from': '23:00', 'time_to': '02:00', 'non_standard': ''}, {'days': 'Sunday', 'time_from': '23:00', 'time_to': '01:00', 'non_standard': ''}, {'days': 'Non Standard Timings:', 'time_from': '', 'time_to': '', 'non_standard': ''}, {'days': 'Monday to Saturday', 'time_from': '10:00', 'time_to': '02:00', 'non_standard': ''}, {'days': 'Sunday', 'time_from': '10:00', 'time_to': '01:00', 'non_standard': ''}, {'days': 'Non Standard Timings:', 'time_from': '', 'time_to': '', 'non_standard': ''}]",[],"{'mandatory': [], 'operational': [], 'post_hearing': [], 'cctv': []}",,,70.0,exact_name + strong_address,2025-11-21T11:23:36.177576
221,"The Waterfront, Plymouth","9 Grand Parade, Plymouth PL1 3DQ, UK",,2297,Waterfront,"9 Grand Parade, The Hoe, Plymouth, Devon, PL1 3DQ",PA0572,https://licensing.plymouth.gov.uk/1/LicensingActPremises/Search/2297/Detail?LIC_ID=2228,,,"['sale and supply of alcohol', 'provision of late night refreshment', 'a performance of live music', 'any playing of recorded music', 'entertainment of a similar description to that falling within a performance of live music, any playing of recorded music or a performance of dance']","[{'days': 'Sunday to Thursday', 'time_from': '07:00', 'time_to': '00:30', 'non_standard': ''}, {'days': 'Friday and Saturday', 'time_from': '07:00', 'time_to': '01:30', 'non_standard': ''}, {'days': 'Non Standard Timings:', 'time_from': '', 'time_to': '', 'non_standard': ''}, {'days': 'Monday to Sunday', 'time_from': '12:00', 'time_to': '23:00', 'non_standard': ''}, {'days': 'Monday to Sunday', 'time_from': '12:00', 'time_to': '23:00', 'non_standard': ''}, {'days': 'Monday to Sunday', 'time_from': '12:00', 'time_to': '23:00', 'non_standard': ''}, {'days': 'Monday to Sunday', 'time_from': '23:00', 'time_to': '01:00', 'non_standard': ''}, {'days': 'Sunday to Thursday', 'time_from': '09:00', 'time_to': '00:00', 'non_standard': ''}, {'days': 'Friday and Saturday', 'time_from': '09:00', 'time_to': '01:00', 'non_standard': ''}, {'days': 'Non Standard Timings:', 'time_from': '', 'time_to': '', 'non_standard': ''}]",[],"{'mandatory': [], 'operational': [], 'post_hearing': [], 'cctv': []}",,,61.66666666666667,similar_name + strong_address,2025-11-21T12:40:40.825961
225,Toot,"46 Mayflower St, Plymouth PL1 1QX, UK",,3336,Toot,"46 Mayflower Street, Plymouth, Devon, PL1 1QX",PA1023,https://licensing.plymouth.gov.uk/1/LicensingActPremises/Search/3336/Detail?LIC_ID=16738,,,['sale and supply of alcohol'],"[{'days': 'Monday to Sunday', 'time_from': '11:00', 'time_to': '00:00', 'non_standard': ''}, {'days': 'Non Standard Timings:', 'time_from': '', 'time_to': '', 'non_standard': ''}, {'days': 'Monday to Sunday', 'time_from': '11:00', 'time_to': '00:00', 'non_standard': ''}, {'days': 'Non Standard Timings:', 'time_from': '', 'time_to': '', 'non_standard': ''}]",[],"{'mandatory': [], 'operational': [], 'post_hearing': [], 'cctv': []}",,,70.0,exact_name + strong_address,2025-11-21T12:33:09.025797
227,Positano,"36-38 Mayflower St, Plymouth PL1 1QX, UK",,228,Positano Restaurant,"36-38 Mayflower Street, Plymouth, Devon, PL1 1QX",PA0187,https://licensing.plymouth.gov.uk/1/LicensingActPremises/Search/228/Detail?LIC_ID=1601,,,['sale and supply of alcohol'],"[{'days': 'Monday to Saturday', 'time_from': '10:00', 'time_to': '00:00', 'non_standard': ''}, {'days': 'Sunday', 'time_from': '12:00', 'time_to': '23:30', 'non_standard': ''}, {'days': 'Non Standard Timings:', 'time_from': '', 'time_to': '', 'non_standard': ''}]",[],"{'mandatory': [], 'operational': [], 'post_hearing': [], 'cctv': []}",,,70.0,exact_name + strong_address,2025-11-21T11:13:36.208770
229,Lost in Rio Restaurant & Cocktail Bar,"8 Parade, Plymouth PL1 2JL, UK",,451,Lost in Rio Restaurant & Cocktail Bar,"8 The Parade, The Barbican, Plymouth, Devon, PL1 2JL",PA0379,https://licensing.plymouth.gov.uk/1/LicensingActPremises/Search/451/Detail?LIC_ID=2057,,,"['a performance of live music', 'any playing of recorded music', 'provision of late night refreshment', 'sale and supply of alcohol']","[{'days': 'Monday to Saturday', 'time_from': '10:00', 'time_to': '02:30', 'non_standard': ''}, {'days': 'Sunday', 'time_from': '11:00', 'time_to': '00:30', 'non_standard': ''}, {'days': 'Non Standard Timings:', 'time_from': '', 'time_to': '', 'non_standard': ''}, {'days': 'Monday to Saturday', 'time_from': '10:00', 'time_to': '01:00', 'non_standard': ''}, {'days': 'Sunday', 'time_from': '12:00', 'time_to': '12:00', 'non_standard': ''}, {'days': 'Non Standard Timings:', 'time_from': '', 'time_to': '', 'non_standard': ''}, {'days': 'Monday to Saturday', 'time_from': '10:00', 'time_to': '02:00', 'non_standard': ''}, {'days': 'Sunday', 'time_from': '11:00', 'time_to': '00:00', 'non_standard': ''}, {'days': 'Non Standard Timings:', 'time_from': '', 'time_to': '', 'non_standard': ''}, {'days': 'Monday to Saturday', 'time_from': '10:00', 'time_to': '02:00', 'non_standard': ''}, {'days': 'Sunday', 'time_from': '11:00', 'time_to': '00:00', 'non_standard': ''}, {'days': 'Monday to Saturday', 'time_from': '10:00', 'time_to': '02:00', 'non_standard': ''}, {'days': 'Sunday', 'time_from': '11:00', 'time_to': '00:00', 'non_standard': ''}, {'days': 'Non Standard Timings:', 'time_from': '', 'time_to': '', 'non_standard': ''}]",[],"{'mandatory': [], 'operational': [], 'post_hearing': [], 'cctv': []}",,,70.0,exact_name + strong_address,2025-11-21T10:24:25.950137
230,Foodie,"72 Cornwall St, Plymouth PL1 1LR, UK",,2858,Foodie,"72 Cornwall Street, Plymouth, Devon, PL1 1LR",PA0962,https://licensing.plymouth.gov.uk/1/LicensingActPremises/Search/2858/Detail?LIC_ID=13937,,,"['provision of late night refreshment', 'sale and supply of alcohol']","[{'days': 'Monday to Sunday', 'time_from': '11:00', 'time_to': '02:00', 'non_standard': ''}, {'days': 'Monday to Sunday', 'time_from': '23:00', 'time_to': '01:30', 'non_standard': ''}, {'days': 'Monday to Sunday', 'time_from': '11:00', 'time_to': '02:00', 'non_standard': ''}, {'days': 'Non Standard Timings:', 'time_from': '', 'time_to': '', 'non_standard': ''}]",[],"{'mandatory': [], 'operational': [], 'post_hearing': [], 'cctv': []}",,,70.0,exact_name + strong_address,2025-11-21T09:55:32.630516
231,Cosmic Kitchen,"Palace St, Plymouth PL1 2AY, UK",,1592,Cosmic Kitchen,"Palace Street, Plymouth, Devon, PL1 2AY",PA0753,https://licensing.plymouth.gov.uk/1/LicensingActPremises/Search/1592/Detail?LIC_ID=6334,,,"['sale and supply of alcohol', 'provision of late night refreshment', 'any playing of recorded music', 'a performance of live music']","[{'days': 'Sunday to Thursday', 'time_from': '08:00', 'time_to': '00:00', 'non_standard': ''}, {'days': 'Friday and Saturday', 'time_from': '08:00', 'time_to': '02:00', 'non_standard': ''}, {'days': 'Non Standard Timings:', 'time_from': '', 'time_to': '', 'non_standard': ''}, {'days': 'Non Standard Timings:', 'time_from': '', 'time_to': '', 'non_standard': ''}, {'days': 'Sunday to Thursday', 'time_from': '23:00', 'time_to': '00:00', 'non_standard': ''}, {'days': 'Friday and Saturday', 'time_from': '23:00', 'time_to': '02:00', 'non_standard': ''}, {'days': 'Non Standard Timings:', 'time_from': '', 'time_to': '', 'non_standard': ''}, {'days': 'Sunday to Thursday', 'time_from': '23:00', 'time_to': '00:00', 'non_standard': ''}, {'days': 'Friday and Saturday', 'time_from': '23:00', 'time_to': '02:00', 'non_standard': ''}, {'days': 'Non Standard Timings:', 'time_from': '', 'time_to': '', 'non_standard': ''}, {'days': 'Sunday to Thursday', 'time_from': '08:00', 'time_to': '00:00', 'non_standard': ''}, {'days': 'Friday and Saturday', 'time_from': '08:00', 'time_to': '02:00', 'non_standard': ''}, {'days': 'Non Standard Timings:', 'time_from': '', 'time_to': '', 'non_standard': ''}]",[],"{'mandatory': [], 'operational': [], 'post_hearing': [], 'cctv': []}",,,70.0,exact_name + strong_address,2025-11-21T09:35:28.580283
233,The Fig Tree @ 36,"36 Admiralty St, Stonehouse, Plymouth PL1 3RU, UK",,406,Fig Tree @ 36,"36 Admiralty Street, Stonehouse, Plymouth, Devon, PL1 3RU",PA0338,https://licensing.plymouth.gov.uk/1/LicensingActPremises/Search/406/Detail?LIC_ID=1645,,,['sale and supply of alcohol'],"[{'days': 'Monday to Saturday', 'time_from': '10:00', 'time_to': '00:00', 'non_standard': ''}, {'days': 'Sunday', 'time_from': '12:00', 'time_to': '23:30', 'non_standard': ''}, {'days': 'Non Standard Timings:', 'time_from': '', 'time_to': '', 'non_standard': ''}]",[],"{'mandatory': [], 'operational': [], 'post_hearing': [], 'cctv': []}",,,62.30769230769231,similar_name + strong_address,2025-11-21T09:50:55.402659
236,Zeus,"150-152 Cornwall St, Plymouth PL1 1NJ, UK",,417,Zeus Restaurant,"150 Cornwall Street, Plymouth, Devon, PL1 1NJ",PA0343,https://licensing.plymouth.gov.uk/1/LicensingActPremises/Search/417/Detail?LIC_ID=1616,,,['sale and supply of alcohol'],"[{'days': 'Monday to Saturday', 'time_from': '10:00', 'time_to': '00:00', 'non_standard': ''}, {'days': 'Sunday', 'time_from': '12:00', 'time_to': '23:30', 'non_standard': ''}, {'days': 'Non Standard Timings:', 'time_from': '', 'time_to': '', 'non_standard': ''}]",[],"{'mandatory': [], 'operational': [], 'post_hearing': [], 'cctv': []}",,,70.0,exact_name + strong_address,2025-11-21T13:46:16.190548
239,NORA'S,"40 Drake Circus, North Hill, Plymouth PL4 8AB, UK",,199,Nora's Restaurant,"38-40 Drake Circus, Plymouth, Devon, PL4 8AB",PA0158,https://licensing.plymouth.gov.uk/1/LicensingActPremises/Search/199/Detail?LIC_ID=1498,,,"['a performance of live music', 'a performance of dance', 'entertainment of a similar description to that falling within a performance of live music, any playing of recorded music or a performance of dance', 'sale and supply of alcohol', 'provision of late night refreshment', 'any playing of recorded music']","[{'days': 'Monday to Sunday', 'time_from': '10:00', 'time_to': '04:30', 'non_standard': ''}, {'days': 'Non Standard Timings:', 'time_from': '', 'time_to': '', 'non_standard': ''}, {'days': 'Monday to Sunday', 'time_from': '10:00', 'time_to': '04:00', 'non_standard': ''}, {'days': 'Non Standard Timings:', 'time_from': '', 'time_to': '', 'non_standard': ''}, {'days': 'Monday to Sunday', 'time_from': '10:00', 'time_to': '04:00', 'non_standard': ''}, {'days': 'Non Standard Timings:', 'time_from': '', 'time_to': '', 'non_standard': ''}, {'days': 'Monday to Sunday', 'time_from': '10:00', 'time_to': '04:00', 'non_standard': ''}, {'days': 'Non Standard Timings:', 'time_from': '', 'time_to': '', 'non_standard': ''}, {'days': 'Monday to Sunday', 'time_from': '10:00', 'time_to': '04:00', 'non_standard': ''}, {'days': 'Non Standard Timings:', 'time_from': '', 'time_to': '', 'non_standard': ''}, {'days': 'Monday to Saturday', 'time_from': '23:00', 'time_to': '04:00', 'non_standard': ''}, {'days': 'Non Standard Timings:', 'time_from': '', 'time_to': '', 'non_standard': ''}, {'days': 'Monday to Sunday', 'time_from': '10:00', 'time_to': '04:00', 'non_standard': ''}, {'days': 'Non Standard Timings:', 'time_from': '', 'time_to': '', 'non_standard': ''}]",[],"{'mandatory': [], 'operational': [], 'post_hearing': [], 'cctv': []}",,,70.0,exact_name + strong_address,2025-11-21T10:41:40.063897
240,Steak & Omelette,"116-118 Cornwall St, Plymouth PL1 1NF, UK",,147,Steak & Omelette Bar,"116-118 Cornwall Street, Plymouth, Devon, PL1 1NF",PA0111,https://licensing.plymouth.gov.uk/1/LicensingActPremises/Search/147/Detail?LIC_ID=1577,,,['sale and supply of alcohol'],"[{'days': 'Monday to Saturday', 'time_from': '10:00', 'time_to': '00:00', 'non_standard': ''}, {'days': 'Sunday', 'time_from': '12:00', 'time_to': '23:30', 'non_standard': ''}]",[],"{'mandatory': [], 'operational': [], 'post_hearing': [], 'cctv': []}",,,64.44444444444444,similar_name + strong_address,2025-11-21T11:51:05.427635
245,Crown & Anchor,"10 The Barbican, Plymouth PL1 2LS, UK",,327,Crown & Anchor,"10/11 The Barbican, Plymouth, Devon, PL1 2LS",PA0274,https://licensing.plymouth.gov.uk/1/LicensingActPremises/Search/327/Detail?LIC_ID=1902,,,"['sale and supply of alcohol', 'entertainment of a similar description to that falling within a performance of live music, any playing of recorded music or a performance of dance', 'a performance of dance', 'a performance of live music', 'any playing of recorded music']","[{'days': 'Monday to Saturday', 'time_from': '10:00', 'time_to': '02:30', 'non_standard': ''}, {'days': 'Sunday', 'time_from': '10:00', 'time_to': '01:00', 'non_standard': ''}, {'days': 'Non Standard Timings:', 'time_from': '', 'time_to': '', 'non_standard': ''}, {'days': 'Monday to Saturday', 'time_from': '10:00', 'time_to': '02:00', 'non_standard': ''}, {'days': 'Sunday', 'time_from': '10:00', 'time_to': '00:30', 'non_standard': ''}, {'days': 'Non Standard Timings:', 'time_from': '', 'time_to': '', 'non_standard': ''}, {'days': 'Monday to Saturday', 'time_from': '10:00', 'time_to': '02:00', 'non_standard': ''}, {'days': 'Sunday', 'time_from': '10:00', 'time_to': '00:30', 'non_standard': ''}, {'days': 'Non Standard Timings:', 'time_from': '', 'time_to': '', 'non_standard': ''}, {'days': 'Thursday to Saturday', 'time_from': '09:00', 'time_to': '02:00', 'non_standard': ''}, {'days': 'Monday to Saturday', 'time_from': '10:00', 'time_to': '02:00', 'non_standard': ''}, {'days': 'Sunday', 'time_from': '10:00', 'time_to': '00:30', 'non_standard': ''}, {'days': 'Non Standard Timings:', 'time_from': '', 'time_to': '', 'non_standard': ''}, {'days': 'Monday to Saturday', 'time_from': '10:00', 'time_to': '02:00', 'non_standard': ''}, {'days': 'Sunday', 'time_from': '10:00', 'time_to': '00:30', 'non_standard': ''}, {'days': 'Non Standard Timings:', 'time_from': '', 'time_to': '', 'non_standard': ''}, {'days': 'Non Standard Timings:', 'time_from': '', 'time_to': '', 'non_standard': ''}]",[],"{'mandatory': [], 'operational': [], 'post_hearing': [], 'cctv': []}",,,70.0,exact_name + strong_address,2025-11-21T09:37:23.345418
246,A Taskinha,"53 Union St, Stonehouse, Plymouth PL1 3LU, UK",,878,A Taskinha,"55 Union Street, Plymouth, Devon, PL1 3LU",,,,,[],[],[],{},,,70.0,exact_name + strong_address,2025-11-21T09:00:47.907116
248,Wingstop Plymouth,"2 Old Town St, Plymouth PL1 1DP, UK",,4684,Wingstop,"2 Old Town Street, Plymouth, Devon, PL1 1DP",PA1283,https://licensing.plymouth.gov.uk/1/LicensingActPremises/Search/4684/Detail?LIC_ID=23340,,,"['provision of late night refreshment', 'sale and supply of alcohol']","[{'days': 'Monday to Sunday', 'time_from': '10:00', 'time_to': '00:30', 'non_standard': ''}, {'days': 'Monday to Sunday', 'time_from': '23:00', 'time_to': '00:00', 'non_standard': ''}, {'days': 'Monday to Sunday', 'time_from': '10:00', 'time_to': '00:00', 'non_standard': ''}]",[],"{'mandatory': [], 'operational': [], 'post_hearing': [], 'cctv': []}",,,70.0,exact_name + strong_address,2025-11-21T12:44:36.558883
