restaurant_id,name,address,best_confidence
21,ASK Italian Plymouth,No address,52.2%
349,Admiral MacBride,"1 The Barbican, Plymouth PL1 2LR, UK",53.3%
86,All Bar One Plymouth,No address,53.3%
93,Barburrito Plymouth,No address,52.2%
88,Beefeater Plymouth,No address,50.0%
155,Bella Italia Plymouth,No address,54.5%
23,Bill's Plymouth,No address,47.6%
290,Black Cat Surf Club,"31 The Broadway, Plymstock, Plymouth PL9 7AG, UK",50.0%
361,Boringdon Arms,"Boringdon Terrace, Turnchapel, Plymouth PL9 9TQ, UK",63.2%
318,Brass Monkey,"12-14 Royal Parade, Plymouth PL1 1DS, UK",50.0%
89,Brewers Fayre Plymouth,No address,64.0%
47,Byron Burger Plymouth,No address,69.6%
276,Cafe and Bistro Tio Leo,"17 Bishops Pl, Plymouth PL1 3BW, UK",67.6%
261,Café Momus,"14-17 Manor St, Stonehouse, Plymouth PL1 1TL, UK",63.2%
44,Café Rouge Plymouth,No address,60.0%
63,Carluccio's Plymouth,No address,63.6%
81,Chiquito Plymouth,No address,50.0%
62,Côte Brasserie Plymouth,No address,66.7%
65,Domino's Pizza Plymouth,No address,58.3%
230,Foodie,"72 Cornwall St, Plymouth PL1 1LR, UK",64.3%
101,Giggling Squid Plymouth,No address,48.0%
359,Golden Hind,"260 Mannamead Rd, Plymouth PL3 5RJ, UK",51.9%
57,Gourmet Burger Kitchen Plymouth,No address,60.6%
35,Greggs Plymouth,No address,50.0%
60,Harvester Plymouth,No address,57.1%
95,Hubbox Plymouth,No address,42.9%
223,In Seoul,"10, 12 Market Ave, Plymouth PL1 1PQ, UK",51.9%
41,Jacka Bakery,No address,66.7%
327,James Street Vaults (JSV),"24 James St, Plymouth PL4 6EQ, UK",45.2%
316,Kitty O'Hanlons Plymouth,"5 St Andrew St, Plymouth PL1 2AH, UK",45.2%
171,Kuku Indian Restaurant,No address,68.3%
19,Las Iguanas Plymouth,No address,56.0%
356,Lockyers Quay Cookhouse + Pub,"1 Lockyers Quay, Plymouth PL4 0DX, UK",47.9%
348,Lord High Admiral,"33 Stonehouse St, Stonehouse, Plymouth PL1 3PE, UK",63.8%
51,Loungers - Seco,No address,53.8%
296,M&S Café,"1 Cornwall St, Plymouth PL1 1DH, UK",60.0%
337,Melbourne Inn,"224 Cecil St, Stonehouse, Plymouth PL1 5HP, UK",58.3%
339,Minerva Inn,"31 Looe St, Plymouth PL4 0EA, UK",66.7%
321,Noahs Ark,"32A Courtenay St, Plymouth PL1 1EP, UK",60.0%
332,Number 10,"197 North Rd W, Stonehouse, Plymouth PL1 5DG, UK",40.0%
271,Ope,"15 Looe St, Plymouth PL4 0DY, UK",60.0%
56,Panchos Burritos,No address,53.3%
66,Papa John's Plymouth,No address,47.1%
162,Pasta Remoli,"Ealing Broadway, London",52.6%
144,Pho Plymouth,"102 Baker St, London W1U 6TL",60.0%
102,Pizza Hut Plymouth,"Gapton Hall Road
Great Yarmouth, Norfolk
NR31 0NL",63.2%
75,Pret A Manger Plymouth,No address,51.9%
76,Prezzo Plymouth,No address,50.0%
49,Revolution Plymouth,No address,50.0%
53,River Cottage Canteen Plymouth,No address,61.5%
48,Slug & Lettuce Plymouth,"5–6 Edgar Buildings George Street, Bath, BA1 2EE",54.5%
312,Switch & A I R,"2 Sherwell Ln, Plymouth PL4 8LH, UK",51.4%
59,TGI Fridays Plymouth,No address,48.0%
353,The Artillery Arms,"6 Pound St, Stonehouse, Plymouth PL1 3RH, UK",62.5%
150,The Blockhouse,No address,68.8%
342,The Clarence Plymouth,"31 Clarence Pl, Stonehouse, Plymouth PL1 3JP, UK",60.9%
333,The Duchy Pub,"The Duchy, 14 Anstis St, Stonehouse, Plymouth PL1 5JT, UK",57.1%
179,The Edgcumbe Arms,"The Edgcumbe Arms, Cremyll, Cornwall",58.1%
360,The Firkin Scholar,"Paradise Rd, Stoke, Plymouth PL1 5QU, UK",55.2%
319,The Fishermans Arms,"31 Lambhay St, Plymouth PL1 2NN, UK",57.1%
110,The Greedy Goose,No address,69.0%
99,The Hungry Horse - Plymouth,"10 Victoria Square, Wolverhampton, West Midlands",64.5%
331,The Hyde Park,"88 Mutley Plain, Mutley, Plymouth PL4 6LG, UK",68.8%
364,The London Inn,"8 Church Rd, Plympton, Plymouth PL7 1NH, UK",64.5%
147,The Mannamead,No address,63.6%
346,The Newmarket Tavern,"The Newmarket, 2 Market Way, Plymouth PL1 1PB, UK",61.5%
317,The Nowhere Inn,"21 Gilwell St, Greenbank, Plymouth PL4 8BU, UK",62.1%
315,The Refectory Bar,"Black Friars Distillery, 60 Southside St, Plymouth PL1 2LQ, UK",62.9%
174,The Ship & Castle,No address,59.3%
328,The Skiving Scholar,"1 Tavistock Pl, Plymouth PL4 8AU, UK",54.1%
324,The Tap and Barrel,"Ashford Cres, Mannamead, Plymouth PL3 5AA, UK",57.1%
124,The Terrace Restaurant & Bar,No address,68.1%
106,The Thistle Park Brewers Fayre,No address,53.1%
338,The Union Rooms - JD Wetherspoon,"19 Union St, Plymouth PL1 2SU, UK",51.0%
8,The VOT,No address,66.7%
334,The Walrus Pub,"Athenaeum St, Plymouth PL1 2RH, UK",64.8%
358,The Woodside,"12 Gasking St, Plymouth PL4 8DQ, UK",62.1%
61,Toby Carvery Plymouth,No address,52.2%
165,Urban Reef,No address,52.2%
105,Viva Brazil,No address,44.4%
311,Walkabout - Plymouth,"5 Union St, Plymouth PL1 2SU, UK",44.4%
289,Well Brewed,"2-4 Frontfield Cres, Southway, Plymouth PL6 6RY, UK",50.0%
67,Wetherspoons - The Gipsy Moth,No address,43.1%
218,Yukisan Ramen Bar,No address,58.3%
219,Zaika Indian Cuisine,"7 CHALVEDON SQUARE, BASILDON SS13 3QX",61.5%
20,Zizzi Plymouth,No address,40.0%
96,Zizzi Plymouth Barbican,No address,68.8%
12,Àclèaf at Boringdon Hall,No address,54.2%
